종목명,종목코드,현재가,전일가,시가,고가,저가
삼성전자,005930,"76,100","75,500","76,500","76,600","75,500"
SK하이닉스,000660,"181,900","177,000","179,900","182,400","178,800"
LG에너지솔루션,373220,"329,500","328,500","325,500","331,500","322,000"
삼성바이오로직스,207940,"939,000","950,000","944,000","949,000","925,000"
현대차,005380,"243,000","243,500","242,000","245,500","240,000"
삼성전자우,005935,"60,800","60,100","60,400","60,800","60,100"
셀트리온,068270,"192,700","200,000","199,000","200,000","191,500"
기아,000270,"102,800","102,100","102,200","103,200","101,100"
KB금융,105560,"84,600","82,500","82,500","85,400","82,100"
신한지주,055550,"55,500","54,100","54,000","55,800","53,800"
